나쁜말 양파-말하는대로 자라는 양파 키우기  테스트 케이스,,,,,,,,,,,,
,,,,,,,,,,,,
,작성 일자,2024-05-21,,,,,,,,,,
,작성자,문채은,,,,,,,,,,
,,,,,,,,,,,,
NO,분류,테스트 케이스,,,,,,,,,,
1,실행화면,실행 시 타이틀 게임 화면이 나타나는가?,,,,,,,,,,
2,,실행 시 배경 음악이 재생되는가?,,,,,,,,,,
3,,게임 화면 중앙애 화분 UI가 배치되있는가?,,,,,,,,,,
4,,게임 화면에서 새 양파 키우기 버튼 클릭 시 화분 UI에 아기 양파 캐릭터가 생성되는가?,,,,,,,,,,
5,이름생성,게임 화면에서 화분에 있는 이름표 클릭 시 아기 양파 캐릭터의 이름 생성 창이 나타나는가?,,,,,,,,,,
6,,이름 생성 창에서 타이핑 할 수 있는가?,,,,,,,,,,
7,오디오   권한,이름 생성 창에서 타이핑 후 확인 버튼을 클릭했을 시 화분 UI의 이름표에 해당 이름이 적혀있는가?,,,,,,,,,,
8,,게임 화면의 좌측 하단에 물 아이콘 5개가 세로로 정렬되어있는가?,,,,,,,,,,
9,,오디오 녹음 권한 창에서 '허용안함' 클릭 시 해당 창이 사라지는가?,,,,,,,,,,
10,,오디오 녹음 권한 창에서 '허용안함' 클릭 시 마이크 권한이 필요한 이유 창이 나타나는가?,,,,,,,,,,
11,,마이크 권한이 필요한 이유 창에 마이크권한이 필요한 사유에 대해 명시되어있는가?,,,,,,,,,,
12,,마이크 권한이 필요한 이유 창에서 '창 닫기 ' 클릭 시 해당 창이 사라지는가?,,,,,,,,,,
13,,"마이크 권한이 필요한 이유 창에서 '마이크 권한 설정하기' 클릭 시 해당 기기의 어플리케이션
 정보 화면으로 이동하는가?",,,,,,,,,,
14,,해당 기기의 어플리케이션 정보 화면에서 마이크 허용 후 말하기 버튼 클릭 시 녹음이 실행 되는가?,,,,,,,,,,
15,녹음, 녹음 중 대화를 시도한 후 양파 캐릭터의 대화 창이 생성되는가?,,,,,,,,,,
16,,녹음 중 '안녕'이라 말했을 시 해당 대화 내용과 유사한 대답을 하는가?,,,,,,,,,,
17,,녹음 후 양파 캐릭터 상단에 물을 주는 애니메이션이 실행되는가?,,,,,,,,,,
18,,녹음 중 '뭐해?'라 말했을 시 해당 대화 내용과 유사한 대답을 하는가?,,,,,,,,,,
19,게임,대화를 2번 실행 했을 시 양파가 2단계로 성장하는가?,,,,,,,,,,
20,,대화를 3번 실행 했을 시 양파가 3단계로 성장하는가?,,,,,,,,,,
21,,대화를 4번 실행 했을 시 양파가 4단계로 성장하는가?,,,,,,,,,,
22,,대화를 5번 실행 했을 시 양파가 최종 단계로 성장하는가?,,,,,,,,,,
23,,대화를 1번 실행 했을 시 상단의 게이지 바가 1단계 올라가는가?,,,,,,,,,,
24,,대화를 2번 실행 했을 시 상단의 게이지 바가 2단계 올라가는가?,,,,,,,,,,
25,,대화를 3번 실행 했을 시 상단의 게이지 바가 3단계 올라가는가?,,,,,,,,,,
26,,대화를 4번 실행 했을 시 상단의 게이지 바가 4단계 올라가는가?,,,,,,,,,,
27,,대화를 5번 실행 했을 시 상단의 게이지 바가 전부 채워지는가?,,,,,,,,,,
28,,양파가 최종 단계로 성장했을 시 양파의 성장 결과 화면이 나타나는가?,,,,,,,,,,
29,,양파와 1회 대화 시도 시 좌측 하단의 물 아이콘 1개가 사라지는가?,,,,,,,,,,
