모퉁이뜨개방with 카페  테스트 케이스,,,,,,,,,
,,,,,,,,,
,작성 일자,2025-01-03,,,,,,,
,작성자,문채은,,,,,,,
,,,,,,,,,
NO,분류,테스트 케이스,,,,,,,
1,실행,실행 시 스플레시 화면이 나타나는가?,,,,,,,
2,,스플레시 화면이 1초 후 사라지는가?,,,,,,,
3,,스플레시 화면이 사라진 후 로딩 화면이 나타나는가?,,,,,,,
4,"로딩화면
UI배치",로딩화면의 상단에 '모둥이 도매방'문구가 있는가?,,,,,,,
5,,로딩화면에 흰 벽 배경 이미지가 있는가?,,,,,,, 
6,,로딩화면 중앙에  '노란색 음료'이미지가 있는가?,,,,,,,
7,,로딩화면의 하단에 사각형 말풍선 이미지가 있는가?,,,,,,,
8,,말풍선 이미지의 왼쪽상단에 'Tip'문구가 있는가?,,,,,,,
9,,Tip'문구가 빨간색인가?,,,,,,,
10,,말풍선 이미지 안에 '차를 주문한 손님에게 인형을 선물할 수 있어요!'문구가 있는가?,,,,,,,
11,,"말풍선 이미지 안에'[버프]의 길이를 늘리고 싶다면,[버프 업그레이드]를 해 보세요!'
문구가 있는가?",,,,,,,
12,,"말풍선 이미지 안에'특별한 실은 [우울이들]과 [실]을 함께 엮으면 만들 수 있어요!'문구가 
있는가?",,,,,,,
13,,말풍선 이미지 안에'게이지에 따라 차를 얻는 양이 달라져요!'문구가 있는가?,,,,,,,
14,,"말풍선 이미지 안에'친구의 응원이 있다면, 더 빠르게 실을 완성할 수 있어요!'문구가 있는가?",,,,,,,
15,,말풍선 이미지 안에'게임을 지우면 [서버 저장] 하지않은 내용은 모두 지워집니다! '문구가 있는가?,,,,,,,
16,,말풍선 이미지 안에'선물 받은 손님은 언제나 만족도 100%!'문구가 있는가?,,,,,,,
17,,말풍선 이미지 안에'[특별한 꿈인형]은 한 종류 도안으로 이루어진 꿈 인형이에요!'문구가 있는가?,,,,,,,
18,,말풍선 이미지 안에'영양제를 사용하면 남은 시간동안 차나무가 건강하게 자라요!'문구가 있는가?,,,,,,,
19,,"말풍선 이미지 안에'주문의 정답을 모르겠다면, [마음 돋보기]아이템을 사용해보세요!'문구가 있는가?",,,,,,,
20,,말풍선 이미지 안에'물레는 [특별한 꿈인형]만 돌릴 수 있어요!'문구가 있는가?,,,,,,,
21,,"말풍선 이미지 안에'가끔, 펭귄씨의 보따리에서 하트 아이템을 달러로 살 수도 있어요!'문구가 있는가?",,,,,,,
22,,말풍선 이미지 안에'모험을 떠날 때는 다정한 카피바라씨가 도와줄 거에요!'문구가 있는가?,,,,,,,
23,,말풍선 이미지 안에'펭귄 씨는 4시간에 한 번씩 온답니다.'문구가 있는가?,,,,,,,
24,,로딩화면 중앙에  '얼음이 들지 않은노란색 음료'이미지가 있는가?,,,,,,,
25,,로딩화면 중앙에  '얼음이 들은 노란색 음료'이미지가 있는가?,,,,,,,
26,,로딩화면 중앙에 '데이지가 들어간 초록색 음료'이미지가 있는가?,,,,,,,
27,,로딩화면 중앙에 '커피콩이 들어간 노란색 음료'이미지가 있는가?,,,,,,,
28,,로딩화면 중앙에 '초록 잎이 들어간 연한 연두색 음료'이미지가 있는가?,,,,,,,
