무한의 계단 테스트 케이스,,,,,
,,,,,
,작성 일자,2025-01-01,,,
,작성자,문채은,,,
,,,,,
NO,분류,테스트 케이스,,,
1,튜토리얼,최초 실행 시 튜토리얼 화면이 나타나는가?,,,
2,,튜토리얼 진행 시 처음에 우측 하단의 오르기 버튼 클릭 시 캐릭터가 현재 보는 방향으로 1칸 이동하는가?,,,
3,,튜토리얼 진행 시 좌측 하단의 방향전환 버튼 클릭 시 캐릭터가 현재 보는 방향의 반대로 회전하는가?,,,
4,,튜토리얼 진행 시 좌측 하단의 방향전환 버튼 클릭 시 회전 후 캐릭터가 현재 보는 방향으로 1칸 이동하는가?,,,
5,,튜토리얼 진행 시 우측 상단의 일시 정지 버튼 클릭 PAUSED화면이 나타나는가?,,,
6,,PAUSED화면에서 음악 재생 버튼이 활성화되있는가?,,,
7,,PAUSED화면에서 효과음 버튼이 활성화되있는가?,,,
8,,PAUSED화면에서 진동모드 버튼이 활성화되있는가?,,,
9,,PAUSED화면에서 메인화면 버튼이 비활성화 되있는가?,,,
10,,PAUSED화면에서 플레이 버튼이 활성화되있는가?,,,
11,,PAUSED화면에서 음악 재생 버튼 클릭 시 음악 재생이 정지되는가?,,,
12,,PAUSED화면에서 효과음 버튼 클릭 시 효과음 재생이 정지되는가?,,,
13,,PAUSED화면에서 진동모드 클릭 시 진동모드로 전환되는가?,,,
14,,PAUSED화면에서 메인화면 버튼 클릭 시 메인화면으로 이동하지 않는가?,,,
15,,PAUSED화면에서 플레이 버튼 클릭 시  게임화면으로 전환되는가?,,,
16,,PAUSED화면에서 음악 재생이 정지된 상태일 경우 음악 재생 버튼 클릭 시 음악이 재생되는가?,,,
17,,PAUSED화면에서 효과음이 정지된 상태일 경우 효과음 버튼 클릭 시 효과음이 재생되는가?,,,
18,,PAUSED화면에서 진동모드가 아닌 상태일 경우 진동모드 버튼 클릭 시 진동모드로 전환되는가?,,,
19,,튜토리얼 화면에서 캐릭터 이동 후 캐릭터 하단에 계단이 존재하지 않을 경우 게임오버되는가?,,,
20,,게임 오버 시 캐릭터가 아래로 떨어지는 모션이 실행되는가?,,,
21,,게임 오버 후 게임 오버 화면이 나타나는가?,,,
22,,게임 오버 후 GAMEOVER 문구가 화면 상단에 나타나는가?,,,
23,,게임오버 화면에서 중앙에 캐릭터의 이동 횟수를 표시하는 UI가 나타나는가?,,,
24,,게임 오버 화면에서 캐릭터 이동 횟수 UI 하단에 점수가 표시되는가?,,,
25,,게임 오버 화면에서 우측 하단의 다시하기 버튼 클릭 시 튜토리얼이 재실행되는가? ,,,
26,,튜토리얼 진행 시 최초로 오르기 버튼을 클릭 할 경우 상단의 제한시간이 활성화되는가?,,,
27,,튜토리얼 진행 시 오르기 버튼을 클릭 후 제한시간이 줄어드는가 ?,,,
28,,튜토리얼 진행 시 1칸 오를 때마다 제한시간이 늘어나는가?,,,
29,,튜토리얼 진행 시 제한시간이 지났을 경우 캐릭터가 아래로 떨어지는 모션이 실행되는가?,,,
30,,캐릭터가 아래로 떨어지는 모션이 실행된 후 게임오버 화면이 나타나는가?,,,
31,,"튜토리얼 진행 시 특정 계단에 위치한 의상 아이템 획득 시 캐릭터의 의상이 확득한 아이템
으로 전환되는가?",,,
32,,튜토리얼 진행 시 계단을 50번 오를 시 튜토리얼이 클리어되는가?,,,
33,,튜토리얼 클리어 뒤 이어서 게임이 진행되는가?,,,
34,,튜토리얼 클리어 뒤 게임 오버가 될 경우 화면에 튜토리얼 성공 문구가 나타나는가?,,,
35,,튜토리얼 클리어 뒤 게임 오버가 될 경우 좌측하단에 메인화면 버튼이 활성화되는가?,,,
36,,"튜토리얼 클리어 뒤 게임 오버가 될 경우 좌측하단에 메인화면 버튼 클릭 시 메인화면으로 
이동하는가?",,,
37,메인화면,최초로 메인화면 이동 시 업데이트 공지 창이 나타나는가?,,,
38,,업데이트 공지 창에서 우측 하단의 다음 버튼 클릭 시 다음 소식 화면으로 전환되는가?,,,
39,,업데이트 공지 창에서 좌측 하단의 이전 버튼 클릭 시 이전 소식 화면으로 전환되는가?,,,
40,,업데이트 공지 창에서 우측 상단의 x버튼 클릭 시 업데이트 공지 창이 사라지는가?,,,
41,,메인 화면의 중앙에 현재 소지 골드가 표시되는가?,,,
42,,메인 화면의 중앙에 현재 소지 GEM이 표시되는가?,,,
43,,메인화면의 중앙에 SHOP버튼 클릭 시 SHOP창이 나타나는가?,,,
44,SHOP,SHOP창에서  PACKAGE 버튼 클릭 시 PACKAGE SHOP으로 전환되는가?,,,
45,,SHOP창에서  CUSTOM 버튼 클릭 시 CUSTOM SHOP으로 전환되는가?,,,
46,,SHOP창에서 FREE 버튼 클릭 시 FREE SHOP으로 전환되는가?,,,
47,,SHOP창에서  구매 버튼 클릭 시 결제가 진행되는가?,,,
48,,SHOP창에서  구매 버튼 클릭 시 결제 창이 나타나는가?,,,
49,,"SHOP창에서  구매 버튼 클릭 시 게임 게임 화면에 ""결제 완료 중입니다. 잠시만 기다려주세요""문구가 나타나는가?",,,
50,,SHOP창에서  구매 버튼 클릭 후 단말기에서 뒤로가기 클릭 시 결제가 취소되는가?,,,
51,,SHOP창에서  결제 취소 시 결제 창이 사라지는가?,,,
52,,"SHOP창에서 결제 창이 사라졌을 경우 화면의 ""결제 완료 중입니다. 잠시만 기다려주세요""
문구가 사라지는가?",,,
53,"BACK
GROUND",메인화면의 좌측 하단의 BACKGROUND 버튼 클릭 시 BACKGROUND화면으로 전환되는가?,,,
54,, BACKGROUND화면에서 우측하단의 화살표 버튼 클릭 시 BACKGROUND가 전환되는가?,,,
55,, BACKGROUND화면에서 하단의 구매 버튼 클릭 시 해당  BACKGROUND를 획득하는가?,,,
56,," BACKGROUND화면에서 하단의 구매 버튼 클릭 시 구매버튼에 표시된 만큼의 골드가 지불되
는가?",,,
57,, BACKGROUND화면에서 소지중인 BACKGROUND일 경우 구매 버튼이 SELECT버튼으로 전환되는가?,,,
58,,"BACKGROUND화면에서 SELECT버튼클릭 시 게임 BACKGROUND가 해당 화면으로 전환되
는가?",,,
